"","col","row","sample_id","sizeFactor","cluster.init","spatial.cluster"
"Gene_1",14.4142655152154,10,"sample01",0.816381452420022,1,2
"Gene_2",14.3479699101941,10.2763216190703,"sample01",1.18361854757998,2,2
"Gene_3",11.9756905443827,10.252135994786,"sample01",0.816381452420022,1,2
"Gene_4",12.803147777586,10.5402624513502,"sample01",1.18361854757998,2,2
"Gene_5",14.4282698686012,11.1489772780204,"sample01",0.816381452420022,1,2
"Gene_6",14.3559188005538,11.4306216946701,"sample01",1.18361854757998,2,2
"Gene_7",13.6711227095363,11.469695831505,"sample01",0.816381452420022,1,2
"Gene_8",13.3611150862196,11.5998977787768,"sample01",1.18361854757998,2,2
"Gene_9",12.8907035829964,11.6083442798799,"sample01",0.816381452420022,1,2
"Gene_10",12.9537593857606,11.898265893173,"sample01",1.18361854757998,2,2
"Gene_11",12.3798042273132,11.7522127295473,"sample01",0.816381452420022,1,2
"Gene_12",13.0484557872118,12.5579581267097,"sample01",1.18361854757998,2,2
"Gene_13",11.4096065807973,11.3440571600061,"sample01",0.816381452420022,1,2
"Gene_14",13.2132297181394,13.4788197020586,"sample01",1.18361854757998,2,2
"Gene_15",11.8294210073704,12.2518319574109,"sample01",0.816381452420022,1,2
"Gene_16",11.6321145656219,12.291984207428,"sample01",1.18361854757998,2,2
"Gene_17",11.1630919947613,11.8745468609447,"sample01",0.816381452420022,1,2
"Gene_18",12.1009993181121,13.9213346200429,"sample01",1.18361854757998,2,2
"Gene_19",10.9505190361115,12.0813463653916,"sample01",0.816381452420022,1,2
"Gene_20",11.0966973194021,12.870599626145,"sample01",1.18361854757998,2,2
"Gene_21",11.3719466067223,14.4122094634034,"sample01",0.816381452420022,1,2
"Gene_22",10.2687329433624,11.1077322799448,"sample01",1.18361854757998,2,2
"Gene_23",10.8113907280682,14.6016254846995,"sample01",0.816381452420022,1,2
"Gene_24",10.0237227536782,10.2127117285321,"sample01",1.18361854757998,2,2
"Gene_25",10.2102727092488,14.4141673985597,"sample01",0.816381452420022,1,2
