	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	-0.10095209	-0.30910444	0.6759576	0.7841845	-0.50672174	0.72964984	0.21454847	-0.2805562	0.5928328	-0.6847624	-0.21450788	-0.07079309	2.0195184	-0.4580965	0.4341512	-0.6516191	3.3950107	-0.23772547	-2.7512515	2.661789	-2.9188895	-1.7921456	2.484258	2.1822903	-2.337412	-3.2896512	-2.3378887	0.6921983	2.2565844	3.0178063	2.980735	3.5686908
1	-0.15226567	-0.35149276	0.76130736	0.6348653	-0.5420126	0.8041807	0.13515753	-0.26113868	0.65809256	-0.7068486	-0.25077558	-0.08033055	1.8870428	-0.46265066	0.5297872	-0.61977863	3.2589657	-0.08339405	-2.7820442	2.6302948	-2.80855	-1.666323	2.553694	2.1154454	-2.2160566	-3.2284808	-2.203306	0.59111565	2.21241	2.9744587	2.801464	3.5162075
2	-0.44330114	-0.5440253	0.94118893	0.16560622	-0.6367881	0.8764022	-0.3153103	0.030910011	0.87502337	-0.7335794	-0.48623872	-0.3924786	1.1272537	-0.290411	0.34364486	-0.34933716	2.930364	0.6588197	-2.7682643	2.652919	-2.170785	-1.5975866	2.555019	2.0328524	-2.0506191	-2.87331	-1.8037786	0.035499346	2.2561698	2.795261	2.2991555	3.1224127
3	-0.41416186	-0.5275399	0.9488591	0.17902945	-0.63397336	0.8978003	-0.27493763	-0.018647194	0.86451674	-0.73797375	-0.4608177	-0.34535968	1.1997408	-0.3297249	0.4262754	-0.38521254	2.9460533	0.6436231	-2.7918532	2.6567361	-2.218182	-1.5800817	2.6126802	2.0334141	-2.038839	-2.916732	-1.7975368	0.05283278	2.2692063	2.8349757	2.3115842	3.187315
4	-0.1670711	-0.37950075	0.9118438	0.36266956	-0.5912779	0.9613131	0.0767291	-0.2882179	0.74462897	-0.7456471	-0.24962014	0.022676105	1.7058173	-0.52010834	0.836654	-0.5869868	3.1181264	0.16382334	-2.8527014	2.6158664	-2.714336	-1.4814612	2.812109	2.048004	-2.0662293	-3.1774225	-1.9589186	0.4411342	2.220856	3.0315073	2.572134	3.5949926
5	-0.3576414	-0.49811608	0.9851419	0.15322672	-0.635209	0.9611763	-0.2034269	-0.11091155	0.85696834	-0.75106585	-0.40957177	-0.23475003	1.29096	-0.40836	0.62996215	-0.43651026	2.7447398	0.6011381	-2.6434963	2.473108	-2.151264	-1.4058043	2.5910723	1.8714805	-1.8526326	-2.7899349	-1.6234196	0.062059693	2.1329496	2.740805	2.1282728	3.1126516
6	-0.253258	-0.4400035	1.0099742	0.14981674	-0.6290842	1.0317879	-0.06971097	-0.23651934	0.8270076	-0.7634344	-0.31592333	-0.040387034	1.449948	-0.50552535	0.8985616	-0.5140189	2.8991554	0.45127022	-2.7765002	2.5390117	-2.4397032	-1.3699784	2.8418381	1.9302698	-1.9091743	-2.9875884	-1.6903598	0.20936076	2.1839597	2.9251308	2.2724307	3.4553022
7	-0.47694963	-0.57153916	1.0162411	-0.0062080026	-0.6614916	0.93869907	-0.37625796	0.06188451	0.92968553	-0.7490699	-0.51081705	-0.3996551	0.9302113	-0.29516953	0.43227527	-0.27201414	2.837739	0.80972636	-2.7336183	2.6146958	-2.0403683	-1.5216572	2.57267	1.9743361	-1.9662559	-2.7810354	-1.6548928	-0.12158797	2.2764728	2.799842	2.1507447	3.0957584
8	-0.12851238	-0.3761505	1.0948166	-0.020720065	-0.641887	1.1703234	0.047190893	-0.3632779	0.82328445	-0.78835607	-0.19349319	0.24514417	1.4639623	-0.6154002	1.3341199	-0.5585315	2.9807386	0.4810287	-2.8521225	2.5623927	-2.5767817	-1.3046964	3.081418	1.957601	-1.9254162	-3.0557678	-1.6211898	0.21071129	2.2594807	3.0311909	2.2785974	3.7416704
9	-0.11389756	-0.37191826	1.14591	-0.13490856	-0.6554973	1.2292292	0.035317395	-0.38538933	0.84199965	-0.79915863	-0.17269367	0.31246	1.3756479	-0.64122975	1.4862236	-0.5478655	2.864788	0.5729493	-2.7705727	2.488806	-2.4586408	-1.2442814	3.038731	1.8889685	-1.8347204	-2.933543	-1.4938154	0.113573074	2.2193758	2.9375997	2.146591	3.65502
