x,y,phenotype,niche,type1,type2,patient,1,2
14.414265515215416,10.0,type1,1,1,0,1,1,0
14.347969910194116,10.276321619070313,type1,1,1,0,1,1,0
11.975690544382738,10.252135994786014,type1,1,1,0,1,1,0
12.803147777586044,10.54026245135022,type1,1,1,0,1,1,0
14.428269868601191,11.148977278020446,type1,1,1,0,1,1,0
14.355918800553836,11.430621694670066,type1,1,1,0,1,1,0
13.671122709536291,11.46969583150502,type1,1,1,0,1,1,0
13.361115086219634,11.599897778776764,type1,1,1,0,1,1,0
12.890703582996393,11.60834427987987,type1,1,1,0,1,1,0
12.953759385760556,11.898265893173008,type1,1,1,0,1,1,0
12.379804227313189,11.752212729547283,type1,1,1,0,1,1,0
13.048455787211804,12.557958126709668,type1,1,1,0,1,1,0
11.409606580797272,11.34405716000612,type1,1,1,0,1,1,0
13.213229718139374,13.478819702058642,type1,1,1,0,1,1,0
11.829421007370367,12.251831957410854,type1,1,1,0,1,1,0
11.63211456562189,12.291984207427989,type1,1,1,0,1,1,0
11.163091994761256,11.874546860944658,type1,1,1,0,1,1,0
12.10099931811209,13.921334620042874,type1,1,1,0,1,1,0
10.950519036111514,12.081346365391576,type1,1,1,0,1,1,0
11.096697319402068,12.870599626144976,type1,1,1,0,1,1,0
11.371946606722297,14.41220946340342,type1,1,1,0,1,1,0
10.2687329433624,11.10773227994479,type1,1,1,0,1,1,0
10.811390728068192,14.601625484699507,type1,1,1,0,1,1,0
10.023722753678197,10.21271172853209,type1,1,1,0,1,1,0
10.210272709248825,14.414167398559728,type1,1,1,0,1,1,0
9.927822013927257,14.548661626431484,type1,1,1,0,1,1,0
9.781481075828935,12.748665637628635,type1,1,1,0,1,1,0
9.30945224073627,14.802865161885084,type1,1,1,0,1,1,0
9.29545976229474,13.367105742392855,type1,1,1,0,1,1,0
8.914604555394776,13.92590128738248,type1,1,1,0,1,1,0
8.68617981517891,13.796034126078082,type1,1,1,0,1,1,0
8.361145981414456,13.912574382143449,type1,1,1,0,1,1,0
7.781237919735936,14.4767990975155,type1,1,1,0,1,1,0
8.11132334897432,13.27128391864551,type1,1,1,0,1,1,0
9.23124664958434,11.155475143359793,type1,1,1,0,1,1,0
7.356140095506848,13.473991365047116,type1,1,1,0,1,1,0
9.818147704857658,10.209868736244388,type1,1,1,0,1,1,0
8.7740845348313,11.245522572427031,type1,1,1,0,1,1,0
6.625466963672935,13.019108211615269,type1,1,1,0,1,1,0
7.946766797433266,11.614680437570764,type1,1,1,0,1,1,0
7.269467064323212,11.879834475917528,type1,1,1,0,1,1,0
7.484386581527119,11.506105734767052,type1,1,1,0,1,1,0
8.057455426577,11.001451331095206,type1,1,1,0,1,1,0
7.42137668685994,11.12852230231253,type1,1,1,0,1,1,0
