	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	-0.10086107	-0.30892408	0.6760197	0.78362167	-0.5067534	0.72981787	0.21472406	-0.2808844	0.5928487	-0.68477166	-0.21442664	-0.07052356	2.020796	-0.45833927	0.4341807	-0.6517219	3.392291	-0.23719592	-2.752024	2.6641083	-2.9193	-1.7921672	2.486174	2.1818738	-2.337856	-3.2883198	-2.3378851	0.69485056	2.2569618	3.018509	2.981241	3.5681298
1	-0.15216947	-0.35132122	0.76138484	0.6343121	-0.5420474	0.80432034	0.13531215	-0.26148212	0.65810317	-0.706846	-0.2507069	-0.080046654	1.8884836	-0.4629287	0.5297496	-0.6199089	3.2564135	-0.08283689	-2.7831311	2.632754	-2.8090255	-1.6660956	2.5557632	2.1150866	-2.2168007	-3.2270641	-2.2031372	0.5936397	2.2126951	2.974971	2.8022966	3.5156155
2	-0.4432215	-0.54391086	0.94131935	0.16515118	-0.6367608	0.8765329	-0.31524563	0.030406706	0.87512654	-0.7335638	-0.48620075	-0.39225125	1.1291366	-0.29091096	0.343255	-0.3495167	2.9288208	0.6584565	-2.7712104	2.6552024	-2.1726265	-1.5957364	2.557376	2.0318737	-2.0503902	-2.871559	-1.8019273	0.03847574	2.2549713	2.794862	2.302048	3.1219308
3	-0.41407782	-0.52741987	0.94898725	0.17856497	-0.6339585	0.8979205	-0.27486777	-0.019138396	0.8645994	-0.73795664	-0.4607787	-0.34511685	1.2016218	-0.33019722	0.42591992	-0.38540512	2.9444208	0.6432635	-2.794808	2.6592999	-2.2201824	-1.5784312	2.6150765	2.0325353	-2.0390544	-2.9150515	-1.7958845	0.055805597	2.2681468	2.8345773	2.3143442	3.1869195
4	-0.16695863	-0.3793286	0.9119467	0.36213902	-0.5913417	0.9613885	0.07686258	-0.2885567	0.7445985	-0.74562883	-0.24957108	0.023018476	1.70754	-0.52041614	0.83656496	-0.58719087	3.116198	0.16455153	-2.8543024	2.6187263	-2.714984	-1.481249	2.8142183	2.0478945	-2.0678406	-3.1759086	-1.9584237	0.44297943	2.2213097	3.0314488	2.5737193	3.594633
5	-0.35754627	-0.4979844	0.9852703	0.15275182	-0.63522243	0.9612673	-0.20334822	-0.111353755	0.8570064	-0.75104487	-0.40953404	-0.23446596	1.292883	-0.40878934	0.62966365	-0.43674022	2.7431016	0.6009311	-2.6461906	2.475977	-2.153251	-1.4047147	2.5933208	1.8708128	-1.8538048	-2.7885325	-1.622251	0.064633064	2.1322682	2.7403574	2.1306617	3.1124036
6	-0.2531458	-0.43984896	1.0100996	0.14932558	-0.6291386	1.0318414	-0.06960672	-0.23689276	0.82698476	-0.76341	-0.31588727	-0.040032864	1.4518802	-0.50588787	0.89836836	-0.51427746	2.897579	0.4516107	-2.7786832	2.5419812	-2.4410136	-1.3696278	2.8438349	1.9298599	-1.9109262	-2.9861293	-1.6894253	0.21121065	2.183988	2.924582	2.2747147	3.4549913
7	-0.47686833	-0.57143116	1.0163887	-0.0066294074	-0.66146946	0.93880904	-0.37620676	0.061369933	0.92978525	-0.74905074	-0.51078665	-0.39941663	0.93226254	-0.2957188	0.4318223	-0.27225244	2.8364716	0.8093888	-2.7366428	2.616887	-2.0425444	-1.5199444	2.5752144	1.9733607	-1.9663175	-2.779378	-1.6531906	-0.11859558	2.2749665	2.79939	2.1537926	3.0952392
8	-0.12837148	-0.37596262	1.094955	-0.021184683	-0.6419965	1.1703058	0.04732231	-0.36358672	0.8231792	-0.78832483	-0.1934743	0.24553454	1.4660232	-0.6157073	1.3340304	-0.5588584	2.9792187	0.48133194	-2.8542955	2.565451	-2.577731	-1.3045803	3.0833552	1.9571723	-1.9273058	-3.0541942	-1.6200645	0.21216725	2.2596083	3.0303025	2.2809753	3.7412171
9	-0.11374754	-0.37172395	1.1460595	-0.13529742	-0.65561914	1.2291837	0.0354532	-0.38568866	0.84187233	-0.7991247	-0.1726855	0.3128658	1.3778074	-0.6415328	1.4861385	-0.5482349	2.8633187	0.5730618	-2.7727757	2.4916904	-2.4596205	-1.2440823	3.0406065	1.8884244	-1.83656	-2.9319963	-1.4926233	0.11509101	2.2192812	2.9365695	2.1490116	3.6544108
10	-0.47525638	-0.5744027	1.0587885	-0.08224189	-0.6715006	0.98345524	-0.38221604	0.043776628	0.9495866	-0.75897086	-0.5068729	-0.3725906	0.878313	-0.3241554	0.531463	-0.25796425	2.8369982	0.89379483	-2.7685633	2.6338398	-2.036806	-1.4801444	2.6812804	1.9577097	-1.9233268	-2.8113914	-1.5709478	-0.20485835	2.332155	2.8709595	2.105176	3.2018507
11	-0.16894698	-0.4103781	1.2415214	-0.31730938	-0.6850754	1.3074582	-0.0795691	-0.3685717	0.90509576	-0.8137995	-0.21043026	0.3094458	1.1197505	-0.64901316	1.6210684	-0.48314375	2.863087	0.8491673	-2.835579	2.5656502	-2.3936474	-1.2394781	3.1581416	1.9212868	-1.7846806	-2.9127269	-1.3532933	-0.13335533	2.3450823	2.9780593	2.0765948	3.7369676
12	-0.41453117	-0.5472065	1.1593751	-0.21505952	-0.6867697	1.116797	-0.3275354	-0.089206874	0.9681488	-0.7846176	-0.4461825	-0.20513344	0.8855345	-0.44630766	0.9068548	-0.30481154	2.9247303	1.0206323	-2.9028852	2.7515974	-2.1493957	-1.4548922	2.9902632	1.9823607	-1.9111329	-2.9745119	-1.4935753	-0.309453	2.4710233	3.0758483	2.0966644	3.5255508
13	-0.43267047	-0.55807865	1.1622599	-0.2301932	-0.6898291	1.111024	-0.35143048	-0.06299019	0.9780109	-0.78397423	-0.46217304	-0.2350316	0.8335344	-0.4302851	0.8718484	-0.27783144	2.9446507	1.0939679	-2.9358692	2.7933776	-2.1258113	-1.4663923	3.018383	2.0018852	-1.9168005	-2.9850125	-1.4698404	-0.38394472	2.5230393	3.109701	2.0912042	3.5592544
