0,1
55,57
177,181
26,30
118,122
29,32
8,9
40,41
105,198
192,193
184,189
41,42
44,47
133,134
90,163
125,130
0,108
173,179
14,15
181,192
11,126
74,75
122,124
106,107
114,129
174,180
83,160
15,16
55,61
18,21
107,108
188,191
191,196
86,152
14,145
100,105
98,144
98,153
25,29
173,174
103,106
11,130
114,115
195,198
10,143
55,56
75,160
55,65
59,63
47,61
29,31
48,53
121,123
78,152
89,170
110,113
90,162
125,129
51,54
176,180
66,70
114,119
187,189
17,25
36,38
28,34
55,60
188,190
21,22
69,71
97,151
113,114
153,159
10,12
132,136
54,55
62,68
102,104
7,132
25,28
32,36
90,157
194,196
0,102
146,156
43,45
100,198
14,18
135,137
127,133
106,110
179,180
109,112
68,74
88,89
85,154
120,121
103,199
29,30
77,79
61,62
14,139
121,122
39,43
2,3
89,169
28,150
131,135
110,112
102,108
154,155
3,4
6,140
35,36
43,49
6,149
116,119
95,96
127,128
176,179
187,188
57,60
179,184
36,37
68,78
2,142
160,161
93,171
42,44
180,185
101,102
86,150
78,155
17,145
91,94
94,99
183,186
16,18
194,195
64,67
92,175
6,144
124,127
62,152
5,8
65,68
49,51
17,28
109,111
85,153
6,9
168,169
2,146
103,198
88,164
182,189
9,136
175,177
24,26
72,75
105,109
108,114
179,183
117,119
95,171
68,77
103,193
13,138
42,43
106,198
82,88
171,175
150,152
88,168
20,24
182,184
31,33
153,157
112,116
5,142
75,76
9,140
183,185
92,165
16,17
64,66
124,126
81,155
156,158
0,167
5,7
127,131
156,167
49,50
97,99
95,166
109,110
157,159
13,133
96,158
50,51
1,149
42,47
82,83
60,64
39,41
23,24
104,107
131,133
75,80
115,116
1,5
45,48
37,44
72,74
56,57
101,199
116,117
46,49
38,45
78,81
57,58
126,130
84,161
170,173
24,137
189,195
30,31
99,149
99,158
68,152
20,23
182,183
31,32
112,115
53,56
64,65
26,29
5,6
18,25
12,140
70,72
95,156
86,98
130,132
87,161
178,181
170,177
189,190
148,149
167,199
30,35
71,73
119,122
63,69
1,148
163,165
171,178
12,14
60,63
152,155
144,151
122,123
11,134
91,163
137,139
185,188
67,71
84,160
170,172
189,194
63,64
99,148
184,192
15,145
4,5
18,141
52,54
122,127
102,167
0,156
177,179
55,64
12,139
70,71
84,155
118,120
167,171
0,3
48,52
140,144
111,117
151,153
98,147
163,164
33,36
152,154
34,37
19,137
196,197
11,133
37,42
91,162
94,158
137,138
47,55
67,70
29,34
191,194
169,175
111,112
192,195
151,157
98,151
25,27
73,76
162,163
165,168
144,145
100,197
103,104
8,132
74,77
106,109
85,86
94,162
15,18
177,178
47,50
93,166
4,125
107,110
93,175
3,129
77,78
21,25
0,2
48,51
86,154
80,83
169,170
140,143
89,168
33,35
81,84
79,160
51,52
173,176
22,25
143,144
66,68
11,132
10,145
147,150
58,60
22,137
61,65
97,149
40,42
132,134
7,8
98,150
7,130
73,75
32,34
100,196
21,141
36,40
6,8
93,165
139,141
22,141
97,144
69,73
86,153
80,82
10,14
172,174
98,145
7,125
92,169
194,198
84,85
103,107
87,90
179,182
76,80
117,118
10,144
136,140
58,59
180,183
50,55
14,141
97,157
39,45
83,88
62,65
110,114
32,33
24,29
16,25
35,38
124,125
65,66
187,190
36,39
117,122
28,44
128,131
74,160
96,166
101,104
190,191
113,115
39,40
161,164
182,187
172,173
28,147
17,147
54,56
123,128
92,168
146,148
32,37
194,197
43,46
164,165
135,138
46,48
102,199
179,181
157,162
197,198
27,34
13,136
120,122
85,155
79,81
50,54
99,157
42,50
142,146
2,4
115,119
94,96
105,111
145,147
38,39
68,70
27,29
3,108
103,195
13,140
71,72
96,156
16,145
88,161
101,103
12,13
88,170
77,160
123,127
61,152
45,46
183,187
53,59
93,95
78,79
12,143
108,129
84,159
138,139
186,188
87,164
19,20
13,135
178,193
1,142
119,125
99,156
42,49
52,53
190,194
23,26
112,113
80,160
175,178
0,146
193,195
164,168
12,138
46,51
87,159
170,175
27,28
30,33
79,84
63,67
1,146
148,156
134,136
112,117
144,149
8,136
53,58
93,94
94,157
185,186
94,166
193,199
20,137
67,69
4,129
107,114
126,127
70,74
159,161
95,167
186,187
170,179
13,134
189,192
71,75
119,124
41,43
133,135
90,164
181,184
104,108
181,193
22,29
19,131
1,6
11,127
91,165
56,58
83,161
137,141
59,60
84,153
4,142
19,23
92,93
4,7
52,56
90,159
125,126
22,24
19,135
66,67
34,44
37,40
114,125
174,176
94,165
